year,month,day,dayofyear,weekofyear,dayofweek,quarter,battery,damage,narcotics,theft,other,Latitude,Longitude
2005.0,7.0,29.0,210.0,30.0,4.0,3.0,0,0,0,1,0,41.771822246999996,-87.654297497
2007.0,9.0,30.0,273.0,39.0,6.0,3.0,0,1,0,0,0,41.811698362,-87.66628595700001
2013.0,5.0,18.0,138.0,20.0,5.0,2.0,0,0,0,1,0,41.690547081,-87.623047109
2004.0,6.0,10.0,162.0,24.0,3.0,2.0,0,0,0,1,0,41.891100029,-87.62804649700001
2011.0,6.0,1.0,152.0,22.0,2.0,2.0,1,0,0,0,0,41.904079374,-87.665064415
2009.0,9.0,27.0,270.0,39.0,6.0,3.0,0,0,1,0,0,41.7795054,-87.66208809
2006.0,9.0,27.0,270.0,39.0,2.0,3.0,1,0,0,0,0,41.819478439,-87.621488379
2002.0,12.0,12.0,346.0,50.0,3.0,4.0,0,0,0,1,0,41.968788631,-87.67657836299999
2006.0,2.0,28.0,59.0,9.0,1.0,1.0,1,0,0,0,0,41.774406374,-87.635807999
2009.0,1.0,8.0,8.0,2.0,3.0,1.0,1,0,0,0,0,41.794757899000004,-87.61882088600002
2014.0,5.0,21.0,141.0,21.0,2.0,2.0,1,0,0,0,0,41.682375895999996,-87.65788185299999
2011.0,6.0,30.0,181.0,26.0,3.0,2.0,0,0,0,0,1,41.831817673,-87.643694205
2003.0,7.0,18.0,199.0,29.0,4.0,3.0,0,0,0,1,0,41.891381576,-87.74583178600002
2003.0,8.0,11.0,223.0,33.0,0.0,3.0,1,0,0,0,0,41.805440779,-87.60647736
2009.0,10.0,26.0,299.0,44.0,0.0,4.0,0,1,0,0,0,41.700468794,-87.628104803
2013.0,5.0,27.0,147.0,22.0,0.0,2.0,0,0,0,1,0,41.751427981999996,-87.591497227
2011.0,11.0,2.0,306.0,44.0,2.0,4.0,0,0,1,0,0,41.721635519,-87.630305672
2006.0,2.0,27.0,58.0,9.0,0.0,1.0,0,0,0,0,1,41.842037919,-87.619979608
2004.0,10.0,16.0,290.0,42.0,5.0,4.0,0,0,0,1,0,41.902353319,-87.67266424
2002.0,5.0,13.0,133.0,20.0,0.0,2.0,0,0,0,1,0,41.886883688000005,-87.665486039
2006.0,11.0,10.0,314.0,45.0,4.0,4.0,0,1,0,0,0,41.744697236,-87.5486871
2005.0,8.0,5.0,217.0,31.0,4.0,3.0,0,0,1,0,0,41.774363249000004,-87.70640564200001
2014.0,2.0,23.0,54.0,8.0,6.0,1.0,0,0,0,0,1,41.976495786,-87.905108161
2012.0,8.0,23.0,236.0,34.0,3.0,3.0,0,0,0,1,0,41.97008868,-87.76269009100002
2007.0,11.0,9.0,313.0,45.0,4.0,4.0,0,1,0,0,0,41.694016096999995,-87.65580118700001
2002.0,4.0,13.0,103.0,15.0,5.0,2.0,1,0,0,0,0,41.851442887,-87.731746808
2008.0,4.0,11.0,102.0,15.0,4.0,2.0,0,0,0,1,0,41.884512384000004,-87.61981212200001
2006.0,2.0,4.0,35.0,5.0,5.0,1.0,1,0,0,0,0,41.707989655,-87.631472476
2002.0,9.0,14.0,257.0,37.0,5.0,3.0,0,0,0,1,0,41.721349571,-87.65208553
2006.0,4.0,3.0,93.0,14.0,0.0,2.0,0,1,0,0,0,41.92097524,-87.767096293
2015.0,9.0,18.0,261.0,38.0,4.0,3.0,0,0,0,1,0,41.794614135,-87.64516767100002
2005.0,4.0,18.0,108.0,16.0,0.0,2.0,0,0,1,0,0,41.789904134000004,-87.66690798
2004.0,6.0,8.0,160.0,24.0,1.0,2.0,1,0,0,0,0,41.69008192,-87.63265937
2013.0,4.0,24.0,114.0,17.0,2.0,2.0,0,0,0,1,0,41.891199446,-87.624137626
2001.0,5.0,31.0,151.0,22.0,3.0,2.0,0,0,0,1,0,41.962727715999996,-87.67916291700001
2003.0,6.0,9.0,160.0,24.0,0.0,2.0,1,0,0,0,0,41.78706161,-87.642839377
2008.0,8.0,20.0,233.0,34.0,2.0,3.0,1,0,0,0,0,41.982617569,-87.69671295399998
2010.0,8.0,18.0,230.0,33.0,2.0,3.0,0,0,0,0,1,41.722566263000004,-87.632171035
2013.0,12.0,17.0,351.0,51.0,1.0,4.0,0,0,1,0,0,41.839822544,-87.723209631
2003.0,6.0,1.0,152.0,22.0,6.0,2.0,0,1,0,0,0,41.938397875,-87.732973775
