day,dayofweek,dayofyear,hour,month,quarter,week,weekday,weekofyear,year,battery,damage,narcotics,theft,other,burglary,Latitude,Longitude
0.0,4.0,41.0,0,10.0,4.0,41,4,41.0,2018.0,0,1,0,0,0,0.0,41.798301636,-87.691484367
0.0,3.0,19.0,0,5.0,2.0,19,3,19.0,2018.0,0,1,0,0,0,0.0,41.854572204,-87.723583358
0.0,3.0,27.0,0,7.0,3.0,27,3,27.0,2018.0,0,0,1,0,0,0.0,41.855574302,-87.71189003
0.0,0.0,43.0,0,10.0,4.0,43,0,43.0,2018.0,0,0,0,0,1,0.0,41.934658074,-87.72215959
0.0,3.0,42.0,0,10.0,4.0,42,3,42.0,2018.0,0,0,0,0,0,1.0,41.985811451,-87.690737225
0.0,3.0,11.0,0,3.0,1.0,11,3,11.0,2018.0,1,0,0,0,0,0.0,41.699187865,-87.62687379399998
0.0,1.0,7.0,0,2.0,1.0,7,1,7.0,2018.0,0,0,0,1,0,0.0,41.891792461,-87.64584073600003
0.0,1.0,19.0,0,5.0,2.0,19,1,19.0,2018.0,0,1,0,0,0,0.0,41.728939305,-87.611897732
0.0,3.0,38.0,0,9.0,3.0,38,3,38.0,2018.0,1,0,0,0,0,0.0,41.827859303000004,-87.669112203
0.0,3.0,31.0,0,8.0,3.0,31,3,31.0,2018.0,0,0,0,1,0,0.0,41.777274624,-87.64958022200001
0.0,6.0,48.0,0,12.0,4.0,48,6,48.0,2018.0,0,0,0,1,0,0.0,41.88033698,-87.62936564299999
0.0,0.0,1.0,0,12.0,4.0,1,0,1.0,2018.0,0,0,0,1,0,0.0,41.906276004,-87.670011875
0.0,3.0,19.0,0,5.0,2.0,19,3,19.0,2018.0,0,1,0,0,0,0.0,41.936578095,-87.64033576
0.0,4.0,21.0,0,5.0,2.0,21,4,21.0,2018.0,1,0,0,0,0,0.0,41.867428687,-87.626342565
0.0,0.0,16.0,0,4.0,2.0,16,0,16.0,2018.0,1,0,0,0,0,0.0,41.718284462,-87.55653564200001
0.0,1.0,41.0,0,10.0,4.0,41,1,41.0,2018.0,0,0,0,0,1,0.0,41.764138906,-87.71927936
